ID,Title,Difficulty,Leetcode Question Link,Tags,
1,Two Sum,Easy, https://leetcode.com/problems/two-sum," ""Array","[' Hash Table""']"
53,Maximum Subarray,Easy, https://leetcode.com/problems/maximum-subarray," ""Array","[' Divide and Conquer', ' Dynamic Programming""']"
42,Trapping Rain Water,Hard, https://leetcode.com/problems/trapping-rain-water," ""Array","[' Two Pointers', ' Dynamic Programming""']"
560,Subarray Sum Equals K,Medium, https://leetcode.com/problems/subarray-sum-equals-k," ""Array","[' Hash Table', ' Prefix Sum""']"
31,Next Permutation,Medium, https://leetcode.com/problems/next-permutation," ""Array","[' Two Pointers""']"
4,Median of Two Sorted Arrays,Hard, https://leetcode.com/problems/median-of-two-sorted-arrays," ""Array","[' Binary Search', ' Divide and Conquer""']"
55,Jump Game,Medium, https://leetcode.com/problems/jump-game," ""Array","[' Greedy', ' Dynamic Programming""']"
219,Contains Duplicate II,Easy, https://leetcode.com/problems/contains-duplicate-ii," ""Array","[' Hash Table', ' Sliding Window""']"
11,Container With Most Water,Medium, https://leetcode.com/problems/container-with-most-water," ""Array","[' Two Pointers""']"
220,Contains Duplicate III,Medium, https://leetcode.com/problems/contains-duplicate-iii," ""Array","[' Bucket Sort', ' Sliding Window""']"
18,4Sum,Medium, https://leetcode.com/problems/4sum," ""Array","[' Two Pointers', ' Sorting""']"
45,Jump Game II,Hard, https://leetcode.com/problems/jump-game-ii," ""Array","[' Greedy""']"
525,Contiguous Array,Medium, https://leetcode.com/problems/contiguous-array," ""Array","[' Hash Table""']"
229,Majority Element II,Medium, https://leetcode.com/problems/majority-element-ii," ""Array","[' Hash Table', ' Sorting""']"
59,Spiral Matrix II,Medium, https://leetcode.com/problems/spiral-matrix-ii," ""Array""",
238,Product of Array Except Self,Medium, https://leetcode.com/problems/product-of-array-except-self," ""Array","[' Prefix Sum""']"
561,Array Partition I,Easy, https://leetcode.com/problems/array-partition-i," ""Array""",
217,Contains Duplicate,Easy, https://leetcode.com/problems/contains-duplicate," ""Array","[' Hash Table""']"
54,Spiral Matrix,Medium, https://leetcode.com/problems/spiral-matrix," ""Array""",
41,First Missing Positive,Hard, https://leetcode.com/problems/first-missing-positive," ""Array","[' Hash Table""']"
88,Merge Sorted Array,Easy, https://leetcode.com/problems/merge-sorted-array," ""Array","[' Two Pointers""']"
1051,Height Checker,Easy, https://leetcode.com/problems/height-checker," ""Array","[' Sorting""']"
48,Rotate Image,Medium, https://leetcode.com/problems/rotate-image," ""Array","[' Matrix""']"
128,Longest Consecutive Sequence,Hard, https://leetcode.com/problems/longest-consecutive-sequence," ""Array","[' Union Find', ' Hash Table""']"
977,Squares of a Sorted Array,Easy, https://leetcode.com/problems/squares-of-a-sorted-array," ""Array","[' Two Pointers', ' Sorting""']"
239,Sliding Window Maximum,Hard, https://leetcode.com/problems/sliding-window-maximum," ""Array","[' Heap (Priority Queue)', ' Sliding Window', ' Monotonic Queue""']"
56,Merge Intervals,Medium, https://leetcode.com/problems/merge-intervals," ""Array","[' Sorting""']"
16,3Sum Closest,Medium, https://leetcode.com/problems/3sum-closest," ""Array","[' Two Pointers', ' Sorting""']"
1365,How Many Numbers Are Smaller Than the Current Number,Easy, https://leetcode.com/problems/how-many-numbers-are-smaller-than-the-current-number," ""Array","[' Hash Table""']"
73,Set Matrix Zeroes,Medium, https://leetcode.com/problems/set-matrix-zeroes," ""Array","[' Matrix""']"
118,Pascal's Triangle,Easy, https://leetcode.com/problems/pascals-triangle," ""Array","[' Dynamic Programming""']"
152,Maximum Product Subarray,Medium, https://leetcode.com/problems/maximum-product-subarray," ""Array","[' Dynamic Programming""']"
287,Find the Duplicate Number,Medium, https://leetcode.com/problems/find-the-duplicate-number," ""Array","[' Two Pointers', ' Binary Search""']"
169,Majority Element,Easy, https://leetcode.com/problems/majority-element," ""Array","[' Divide and Conquer', ' Bit Manipulation""']"
35,Search Insert Position,Easy, https://leetcode.com/problems/search-insert-position," ""Array","[' Binary Search""']"
1470,Shuffle the Array,Easy, https://leetcode.com/problems/shuffle-the-array," ""Array""",
215,Kth Largest Element in an Array,Medium, https://leetcode.com/problems/kth-largest-element-in-an-array," ""Array","[' Divide and Conquer', ' Quickselect""']"
