ID,Title,Difficulty,Leetcode Question Link,Tags,
741,Cherry Pickup,Hard, https://leetcode.com/problems/cherry-pickup," ""Dynamic Programming","[' Matrix""']"
115,Distinct Subsequences,Hard, https://leetcode.com/problems/distinct-subsequences," ""Dynamic Programming","[' String""']"
368,Largest Divisible Subset,Medium, https://leetcode.com/problems/largest-divisible-subset," ""Dynamic Programming","[' Math""']"
312,Burst Balloons,Hard, https://leetcode.com/problems/burst-balloons," ""Dynamic Programming","[' Divide and Conquer""']"
221,Maximal Square,Medium, https://leetcode.com/problems/maximal-square," ""Dynamic Programming""",
322,Coin Change,Medium, https://leetcode.com/problems/coin-change," ""Dynamic Programming","[' Breadth-First Search""']"
198,House Robber,Easy, https://leetcode.com/problems/house-robber," ""Dynamic Programming""",
64,Minimum Path Sum,Medium, https://leetcode.com/problems/minimum-path-sum," ""Dynamic Programming""",
44,Wildcard Matching,Hard, https://leetcode.com/problems/wildcard-matching," ""Dynamic Programming","[' Greedy', ' String""']"
70,Climbing Stairs,Easy, https://leetcode.com/problems/climbing-stairs," ""Dynamic Programming""",
329,Longest Increasing Path in a Matrix,Hard, https://leetcode.com/problems/longest-increasing-path-in-a-matrix," ""Dynamic Programming","[' Depth-First Search', ' Topological Sort""']"
96,Unique Binary Search Trees,Medium, https://leetcode.com/problems/unique-binary-search-trees," ""Dynamic Programming","[' Tree""']"
139,Word Break,Medium, https://leetcode.com/problems/word-break," ""Dynamic Programming","[' Hash Table""']"
10,Regular Expression Matching,Hard, https://leetcode.com/problems/regular-expression-matching," ""Dynamic Programming","[' Recursion', ' String""']"
91,Decode Ways,Medium, https://leetcode.com/problems/decode-ways," ""Dynamic Programming","[' String""']"
446,Arithmetic Slices II - Subsequence,Hard, https://leetcode.com/problems/arithmetic-slices-ii-subsequence," ""Dynamic Programming""",
95,Unique Binary Search Trees II,Medium, https://leetcode.com/problems/unique-binary-search-trees-ii," ""Dynamic Programming","[' Tree""']"
375,Guess Number Higher or Lower II,Medium, https://leetcode.com/problems/guess-number-higher-or-lower-ii," ""Dynamic Programming","[' Binary Search""']"
32,Longest Valid Parentheses,Hard, https://leetcode.com/problems/longest-valid-parentheses," ""Dynamic Programming","[' Stack', ' String""']"
877,Stone Game,Medium, https://leetcode.com/problems/stone-game," ""Dynamic Programming","[' Math', ' Game Theory""']"
62,Unique Paths,Medium, https://leetcode.com/problems/unique-paths," ""Dynamic Programming""",
787,Cheapest Flights Within K Stops,Medium, https://leetcode.com/problems/cheapest-flights-within-k-stops," ""Dynamic Programming","[' Graph', ' Shortest Path""']"
1235,Maximum Profit in Job Scheduling,Hard, https://leetcode.com/problems/maximum-profit-in-job-scheduling," ""Dynamic Programming","[' Binary Search', ' Sorting""']"
1223,Dice Roll Simulation,Medium, https://leetcode.com/problems/dice-roll-simulation," ""Dynamic Programming""",
1411,Number of Ways to Paint N × 3 Grid,Hard, https://leetcode.com/problems/number-of-ways-to-paint-n-3-grid," ""Dynamic Programming""",
740,Delete and Earn,Medium, https://leetcode.com/problems/delete-and-earn," ""Dynamic Programming""",
1425,Constrained Subsequence Sum,Hard, https://leetcode.com/problems/constrained-subsequence-sum," ""Dynamic Programming","[' Queue', ' Sliding Window""']"
1000,Minimum Cost to Merge Stones,Hard, https://leetcode.com/problems/minimum-cost-to-merge-stones," ""Dynamic Programming""",
1155,Number of Dice Rolls With Target Sum,Medium, https://leetcode.com/problems/number-of-dice-rolls-with-target-sum," ""Dynamic Programming""",
97,Interleaving String,Hard, https://leetcode.com/problems/interleaving-string," ""Dynamic Programming","[' String""']"
403,Frog Jump,Hard, https://leetcode.com/problems/frog-jump," ""Dynamic Programming","[' Depth-First Search""']"
688,Knight Probability in Chessboard,Medium, https://leetcode.com/problems/knight-probability-in-chessboard," ""Dynamic Programming""",
518,Coin Change 2,Medium, https://leetcode.com/problems/coin-change-2," ""Dynamic Programming""",
466,Count The Repetitions,Hard, https://leetcode.com/problems/count-the-repetitions," ""Dynamic Programming","[' Greedy""']"
1066,Campus Bikes II,Medium, https://leetcode.com/problems/campus-bikes-ii," ""Dynamic Programming","[' Backtracking""']"
1143,Longest Common Subsequence,Medium, https://leetcode.com/problems/longest-common-subsequence," ""Dynamic Programming","[' String""']"
337,House Robber III,Medium, https://leetcode.com/problems/house-robber-iii," ""Dynamic Programming","[' Tree', ' Depth-First Search""']"
264,Ugly Number II,Medium, https://leetcode.com/problems/ugly-number-ii," ""Dynamic Programming","[' Heap (Priority Queue)""']"
983,Minimum Cost For Tickets,Medium, https://leetcode.com/problems/minimum-cost-for-tickets," ""Dynamic Programming""",
516,Longest Palindromic Subsequence,Medium, https://leetcode.com/problems/longest-palindromic-subsequence," ""Dynamic Programming","[' String""']"
351,Android Unlock Patterns,Medium, https://leetcode.com/problems/android-unlock-patterns," ""Dynamic Programming","[' Backtracking""']"
397,Integer Replacement,Medium, https://leetcode.com/problems/integer-replacement," ""Dynamic Programming","[' Math', ' Bit Manipulation""']"
338,Counting Bits,Medium, https://leetcode.com/problems/counting-bits," ""Dynamic Programming","[' Bit Manipulation""']"
847,Shortest Path Visiting All Nodes,Hard, https://leetcode.com/problems/shortest-path-visiting-all-nodes," ""Dynamic Programming","[' Bit Manipulation', ' Breadth-First Search', ' Graph""']"
377,Combination Sum IV,Medium, https://leetcode.com/problems/combination-sum-iv," ""Dynamic Programming""",
1259,Handshakes That Don't Cross,Hard, https://leetcode.com/problems/handshakes-that-dont-cross," ""Dynamic Programming","[' Math', ' Combinatorics""']"
1278,Palindrome Partitioning III,Hard, https://leetcode.com/problems/palindrome-partitioning-iii," ""Dynamic Programming""",
837,New 21 Game,Medium, https://leetcode.com/problems/new-21-game," ""Dynamic Programming","[' Math', ' Sliding Window', ' Probability and Statistics""']"
576,Out of Boundary Paths,Medium, https://leetcode.com/problems/out-of-boundary-paths," ""Dynamic Programming""",
650,2 Keys Keyboard,Medium, https://leetcode.com/problems/2-keys-keyboard," ""Dynamic Programming","[' Greedy""']"
935,Knight Dialer,Medium, https://leetcode.com/problems/knight-dialer," ""Dynamic Programming","[' Memoization""']"
1220,Count Vowels Permutation,Hard, https://leetcode.com/problems/count-vowels-permutation," ""Dynamic Programming""",
920,Number of Music Playlists,Hard, https://leetcode.com/problems/number-of-music-playlists," ""Dynamic Programming""",
1137,N-th Tribonacci Number,Easy, https://leetcode.com/problems/n-th-tribonacci-number," ""Dynamic Programming","[' Math', ' Memoization""']"
968,Binary Tree Cameras,Hard, https://leetcode.com/problems/binary-tree-cameras," ""Dynamic Programming","[' Tree', ' Depth-First Search', ' Binary Tree""']"
1269,Number of Ways to Stay in the Same Place After Some Steps,Hard, https://leetcode.com/problems/number-of-ways-to-stay-in-the-same-place-after-some-steps," ""Dynamic Programming""",
568,Maximum Vacation Days,Hard, https://leetcode.com/problems/maximum-vacation-days," ""Dynamic Programming","[' Depth-First Search""']"
730,Count Different Palindromic Subsequences,Hard, https://leetcode.com/problems/count-different-palindromic-subsequences," ""Dynamic Programming""",
887,Super Egg Drop,Hard, https://leetcode.com/problems/super-egg-drop," ""Dynamic Programming","[' Math', ' Binary Search""']"
691,Stickers to Spell Word,Hard, https://leetcode.com/problems/stickers-to-spell-word," ""Dynamic Programming","[' Backtracking', ' Bit Manipulation""']"
552,Student Attendance Record II,Hard, https://leetcode.com/problems/student-attendance-record-ii," ""Dynamic Programming""",
1240,Tiling a Rectangle with the Fewest Squares,Hard, https://leetcode.com/problems/tiling-a-rectangle-with-the-fewest-squares," ""Dynamic Programming","[' Backtracking""']"
818,Race Car,Hard, https://leetcode.com/problems/race-car," ""Dynamic Programming","[' Breadth-First Search""']"
1406,Stone Game III,Hard,https://leetcode.com/problems/stone-game-iii,"Dynamic Programming, Game Theory",
913,Cat and Mouse,Hard,https://leetcode.com/problems/cat-and-mouse,"Graph, Dynamic Programming, Minimax",
551,Student Attendance Record I,Easy,https://leetcode.com/problems/student-attendance-record-i,"String, Dynamic Programming",
