ID,Title,Difficulty,Leetcode Question Link,Tags,
1192,Critical Connections in a Network,Hard, https://leetcode.com/problems/critical-connections-in-a-network," ""Graph","[' Tarjan\'s Algorithm""']"
399,Evaluate Division,Medium, https://leetcode.com/problems/evaluate-division," ""Graph","[' Depth-First Search', ' Union Find""']"
269,Alien Dictionary,Hard, https://leetcode.com/problems/alien-dictionary," ""Graph","[' Topological Sort""']"
743,Network Delay Time,Medium, https://leetcode.com/problems/network-delay-time," ""Graph","[' Shortest Path""']"
1236,Web Crawler,Medium, https://leetcode.com/problems/web-crawler," ""Graph","[' Depth-First Search', ' Breadth-First Search""']"
928,Minimize Malware Spread II,Hard, https://leetcode.com/problems/minimize-malware-spread-ii," ""Graph","[' Depth-First Search', ' Breadth-First Search', ' Union Find""']"
444,Sequence Reconstruction,Medium, https://leetcode.com/problems/sequence-reconstruction," ""Graph","[' Topological Sort""']"
1168,Optimize Water Distribution in a Village,Hard, https://leetcode.com/problems/optimize-water-distribution-in-a-village," ""Graph","[' Minimum Spanning Tree', ' Union Find""']"
1136,Parallel Courses,Hard, https://leetcode.com/problems/parallel-courses," ""Graph","[' Topological Sort""']"
913,Cat and Mouse,Hard,https://leetcode.com/problems/cat-and-mouse,"Graph, Dynamic Programming, Minimax",
947,Most Stones Removed with Same Row or Column,Medium,https://leetcode.com/problems/most-stones-removed-with-same-row-or-column,"Union Find, Graph, Depth-First Search",
1203,Sort Items by Groups Respecting Dependencies,Hard,https://leetcode.com/problems/sort-items-by-groups-respecting-dependencies,"Graph, Topological Sort",
1466,Reorder Routes to Make All Paths Lead to the City Zero,Medium,https://leetcode.com/problems/reorder-routes-to-make-all-paths-lead-to-the-city-zero,"Graph, Depth-First Search, Breadth-First Search",
802,Find Eventual Safe States,Medium,https://leetcode.com/problems/find-eventual-safe-states,"Graph, Depth-First Search, Breadth-First Search, Topological Sort",
685,Redundant Connection II,Hard,https://leetcode.com/problems/redundant-connection-ii,"Union Find, Graph",
1036,Escape a Large Maze,Hard,https://leetcode.com/problems/escape-a-large-maze,"Graph, Breadth-First Search",
499,The Maze III,Hard,https://leetcode.com/problems/the-maze-iii,"Graph, Breadth-First Search, Priority Queue",
952,Largest Component Size by Common Factor,Hard,https://leetcode.com/problems/largest-component-size-by-common-factor,"Union Find, Graph",
1020,Number of Enclaves,Medium,https://leetcode.com/problems/number-of-enclaves,"Graph, Depth-First Search, Breadth-First Search",
1514,Path with Maximum Probability,Medium,https://leetcode.com/problems/path-with-maximum-probability,"Graph, Priority Queue",
1377,Frog Position After T Seconds,Hard,https://leetcode.com/problems/frog-position-after-t-seconds,"Tree, Depth-First Search, Breadth-First Search, Graph",
1494,Parallel Courses II,Hard,https://leetcode.com/problems/parallel-courses-ii,"Dynamic Programming, Bit Manipulation, Graph",
1042,Flower Planting With No Adjacent,Easy,https://leetcode.com/problems/flower-planting-with-no-adjacent,"Graph, Greedy",
1391,Check if There is a Valid Path in a Grid,Medium,https://leetcode.com/problems/check-if-there-is-a-valid-path-in-a-grid,"Graph, Union Find",
1301,Number of Paths with Max Score,Hard,https://leetcode.com/problems/number-of-paths-with-max-score,"Dynamic Programming, Graph",
990,Satisfiability of Equality Equations,Medium,https://leetcode.com/problems/satisfiability-of-equality-equations,"Graph, Union Find",
959,Regions Cut By Slashes,Medium,https://leetcode.com/problems/regions-cut-by-slashes,"Union Find, Graph",
1334,Find the City With the Smallest Number of Neighbors at a Threshold Distance,Medium,https://leetcode.com/problems/find-the-city-with-the-smallest-number-of-neighbors-at-a-threshold-distance,"Graph, Dijkstra's Algorithm",
1462,Course Schedule IV,Medium,https://leetcode.com/problems/course-schedule-iv,"Graph, Topological Sort",
1436,Destination City,Easy,https://leetcode.com/problems/destination-city,"Graph, Hash Map",
