ID,Title,Difficulty,Leetcode Question Link,Tags,
1488,Avoid Flood in The City,Medium,https://leetcode.com/problems/avoid-flood-in-the-city,"Greedy, Hash Map",
1546,Maximum Number of Non-Overlapping Subarrays With Sum Equals Target,Medium,https://leetcode.com/problems/maximum-number-of-non-overlapping-subarrays-with-sum-equals-target,"Greedy, Hash Map",
170,Two Sum III - Data structure design,Easy,https://leetcode.com/problems/two-sum-iii-data-structure-design,"Hash Map, Design",
599,Minimum Index Sum of Two Lists,Easy,https://leetcode.com/problems/minimum-index-sum-of-two-lists,Hash Map,
1497,Check If Array Pairs Are Divisible by k,Medium,https://leetcode.com/problems/check-if-array-pairs-are-divisible-by-k,"Hash Map, Math",
1282,Group the People Given the Group Size They Belong To,Medium,https://leetcode.com/problems/group-the-people-given-the-group-size-they-belong-to,Hash Map,
1189,Maximum Number of Balloons,Easy,https://leetcode.com/problems/maximum-number-of-balloons,"Hash Map, String",
1500,Design a File Sharing System,Medium,https://leetcode.com/problems/design-a-file-sharing-system,"Design, Hash Map",
1348,Tweet Counts Per Frequency,Medium,https://leetcode.com/problems/tweet-counts-per-frequency,"Design, Hash Map",
648,Replace Words,Medium,https://leetcode.com/problems/replace-words,"Trie, Hash Map",
1400,Construct K Palindrome Strings,Medium,https://leetcode.com/problems/construct-k-palindrome-strings,"Greedy, Hash Map",
1436,Destination City,Easy,https://leetcode.com/problems/destination-city,"Graph, Hash Map",
