ID,Title,Difficulty,Leetcode Question Link,Tags,
3,Longest Substring Without Repeating Characters,Medium, https://leetcode.com/problems/longest-substring-without-repeating-characters," ""Hash Table","[' String', ' Sliding Window""']"
706,Design HashMap,Easy, https://leetcode.com/problems/design-hashmap," ""Hash Table","[' Design""']"
76,Minimum Window Substring,Hard, https://leetcode.com/problems/minimum-window-substring," ""Hash Table","[' String', ' Sliding Window""']"
146,LRU Cache,Medium, https://leetcode.com/problems/lru-cache," ""Hash Table","[' Linked List', ' Design""']"
389,Find the Difference,Easy, https://leetcode.com/problems/find-the-difference," ""Hash Table","[' Bit Manipulation""']"
387,First Unique Character in a String,Easy, https://leetcode.com/problems/first-unique-character-in-a-string," ""Hash Table","[' String""']"
49,Group Anagrams,Medium, https://leetcode.com/problems/group-anagrams," ""Hash Table","[' String', ' Sorting""']"
554,Brick Wall,Medium, https://leetcode.com/problems/brick-wall," ""Hash Table""",
771,Jewels and Stones,Easy, https://leetcode.com/problems/jewels-and-stones," ""Hash Table""",
30,Substring with Concatenation of All Words,Hard, https://leetcode.com/problems/substring-with-concatenation-of-all-words," ""Hash Table","[' Two Pointers', ' String', ' Sliding Window""']"
535,Encode and Decode TinyURL,Medium, https://leetcode.com/problems/encode-and-decode-tinyurl," ""Hash Table","[' Math', ' Design""']"
460,LFU Cache,Hard, https://leetcode.com/problems/lfu-cache," ""Hash Table","[' Linked List', ' Design""']"
159,Longest Substring with At Most Two Distinct Characters,Medium, https://leetcode.com/problems/longest-substring-with-at-most-two-distinct-characters," ""Hash Table","[' String', ' Sliding Window""']"
138,Copy List with Random Pointer,Medium, https://leetcode.com/problems/copy-list-with-random-pointer," ""Hash Table","[' Linked List""']"
314,Binary Tree Vertical Order Traversal,Medium, https://leetcode.com/problems/binary-tree-vertical-order-traversal," ""Hash Table","[' Tree', ' Breadth-First Search""']"
205,Isomorphic Strings,Easy, https://leetcode.com/problems/isomorphic-strings," ""Hash Table","[' String""']"
692,Top K Frequent Words,Medium, https://leetcode.com/problems/top-k-frequent-words," ""Hash Table","[' String', ' Trie', ' Sorting', ' Heap (Priority Queue)""']"
736,Parse Lisp Expression,Hard, https://leetcode.com/problems/parse-lisp-expression," ""Hash Table","[' Stack', ' Recursion""']"
127,Word Ladder,Medium, https://leetcode.com/problems/word-ladder," ""Hash Table","[' Breadth-First Search""']"
166,Fraction to Recurring Decimal,Medium, https://leetcode.com/problems/fraction-to-recurring-decimal," ""Hash Table","[' Math""']"
299,Bulls and Cows,Easy, https://leetcode.com/problems/bulls-and-cows," ""Hash Table","[' String""']"
1177,Can Make Palindrome from Substring,Medium, https://leetcode.com/problems/can-make-palindrome-from-substring," ""Hash Table","[' String""']"
1048,Longest String Chain,Medium, https://leetcode.com/problems/longest-string-chain," ""Hash Table","[' Dynamic Programming""']"
819,Most Common Word,Easy, https://leetcode.com/problems/most-common-word," ""Hash Table","[' String""']"
957,Prison Cells After N Days,Medium, https://leetcode.com/problems/prison-cells-after-n-days," ""Hash Table","[' Math""']"
694,Number of Distinct Islands,Medium, https://leetcode.com/problems/number-of-distinct-islands," ""Hash Table","[' Depth-First Search', ' Breadth-First Search""']"
895,Maximum Frequency Stack,Hard, https://leetcode.com/problems/maximum-frequency-stack," ""Hash Table","[' Stack', ' Design""']"
1244,Design A Leaderboard,Medium, https://leetcode.com/problems/design-a-leaderboard," ""Hash Table","[' Design""']"
409,Longest Palindrome,Easy, https://leetcode.com/problems/longest-palindrome," ""Hash Table","[' String', ' Greedy""']"
187,Repeated DNA Sequences,Medium, https://leetcode.com/problems/repeated-dna-sequences," ""Hash Table","[' String', ' Bit Manipulation', ' Sliding Window""']"
356,Line Reflection,Medium, https://leetcode.com/problems/line-reflection," ""Hash Table","[' Math', ' Geometry""']"
690,Employee Importance,Easy, https://leetcode.com/problems/employee-importance," ""Hash Table","[' Depth-First Search', ' Breadth-First Search""']"
438,Find All Anagrams in a String,Medium, https://leetcode.com/problems/find-all-anagrams-in-a-string," ""Hash Table","[' String', ' Sliding Window""']"
242,Valid Anagram,Easy, https://leetcode.com/problems/valid-anagram," ""Hash Table","[' String', ' Sorting""']"
340,Longest Substring with At Most K Distinct Characters,Hard, https://leetcode.com/problems/longest-substring-with-at-most-k-distinct-characters," ""Hash Table","[' String', ' Sliding Window""']"
451,Sort Characters By Frequency,Medium, https://leetcode.com/problems/sort-characters-by-frequency," ""Hash Table","[' String', ' Sorting', ' Heap (Priority Queue)""']"
966,Vowel Spellchecker,Medium, https://leetcode.com/problems/vowel-spellchecker," ""Hash Table","[' String""']"
1153,String Transforms Into Another String,Hard, https://leetcode.com/problems/string-transforms-into-another-string," ""Hash Table","[' Graph""']"
359,Logger Rate Limiter,Easy, https://leetcode.com/problems/logger-rate-limiter," ""Hash Table","[' Design""']"
432,All O`one Data Structure,Hard, https://leetcode.com/problems/all-oone-data-structure," ""Hash Table","[' Linked List', ' Design""']"
567,Permutation in String,Medium, https://leetcode.com/problems/permutation-in-string," ""Hash Table","[' Two Pointers', ' String', ' Sliding Window""']"
266,Palindrome Permutation,Easy, https://leetcode.com/problems/palindrome-permutation," ""Hash Table","[' String""']"
884,Uncommon Words from Two Sentences,Easy, https://leetcode.com/problems/uncommon-words-from-two-sentences," ""Hash Table","[' String""']"
