ID,Title,Difficulty,Leetcode Question Link,Tags,
728,Self Dividing Numbers,Easy, https://leetcode.com/problems/self-dividing-numbers," ""Math""",
202,Happy Number,Easy, https://leetcode.com/problems/happy-number," ""Math","[' Hash Table""']"
7,Reverse Integer,Easy, https://leetcode.com/problems/reverse-integer," ""Math""",
12,Integer to Roman,Medium, https://leetcode.com/problems/integer-to-roman," ""Math","[' String""']"
343,Integer Break,Medium, https://leetcode.com/problems/integer-break," ""Math","[' Dynamic Programming""']"
204,Count Primes,Easy, https://leetcode.com/problems/count-primes," ""Math","[' Sieve of Eratosthenes""']"
13,Roman to Integer,Easy, https://leetcode.com/problems/roman-to-integer," ""Math","[' String""']"
279,Perfect Squares,Medium, https://leetcode.com/problems/perfect-squares," ""Math","[' Dynamic Programming""']"
9,Palindrome Number,Easy, https://leetcode.com/problems/palindrome-number," ""Math""",
224,Basic Calculator,Hard, https://leetcode.com/problems/basic-calculator," ""Math","[' Stack""']"
168,Excel Sheet Column Title,Easy, https://leetcode.com/problems/excel-sheet-column-title," ""Math","[' String""']"
415,Add Strings,Easy, https://leetcode.com/problems/add-strings," ""Math","[' String""']"
29,Divide Two Integers,Medium, https://leetcode.com/problems/divide-two-integers," ""Math","[' Bit Manipulation""']"
412,Fizz Buzz,Easy, https://leetcode.com/problems/fizz-buzz," ""Math","[' String""']"
67,Add Binary,Easy, https://leetcode.com/problems/add-binary," ""Math","[' String""']"
50,Pow(x;n),Medium, https://leetcode.com/problems/powx-n," ""Math","[' Binary Search', ' Recursion""']"
292,Nim Game,Easy, https://leetcode.com/problems/nim-game," ""Math","[' Brainteaser""']"
258,Add Digits,Easy, https://leetcode.com/problems/add-digits," ""Math","[' Simulation', ' Number Theory""']"
908,Smallest Range I,Easy, https://leetcode.com/problems/smallest-range-i," ""Math""",
910,Smallest Range II,Medium, https://leetcode.com/problems/smallest-range-ii," ""Math","[' Greedy""']"
751,IP to CIDR,Medium, https://leetcode.com/problems/ip-to-cidr," ""Math","[' Bit Manipulation""']"
1058,Minimize Rounding Error to Meet Target,Medium, https://leetcode.com/problems/minimize-rounding-error-to-meet-target," ""Math","[' Greedy""']"
227,Basic Calculator II,Medium, https://leetcode.com/problems/basic-calculator-ii," ""Math","[' Stack""']"
1017,Convert to Base -2,Medium, https://leetcode.com/problems/convert-to-base-2," ""Math""",
1041,Robot Bounded In Circle,Medium, https://leetcode.com/problems/robot-bounded-in-circle," ""Math","[' Simulation""']"
866,Prime Palindrome,Medium, https://leetcode.com/problems/prime-palindrome," ""Math""",
640,Solve the Equation,Medium, https://leetcode.com/problems/solve-the-equation," ""Math","[' String', ' Simulation""']"
634,Find the Derangement of An Array,Medium, https://leetcode.com/problems/find-the-derangement-of-an-array," ""Math","[' Dynamic Programming""']"
770,Basic Calculator IV,Hard, https://leetcode.com/problems/basic-calculator-iv," ""Math","[' Stack""']"
564,Find the Closest Palindrome,Hard, https://leetcode.com/problems/find-the-closest-palindrome," ""Math","[' String""']"
1360,Number of Days Between Two Dates,Easy, https://leetcode.com/problems/number-of-days-between-two-dates," ""Math""",
453,Minimum Moves to Equal Array Elements,Easy, https://leetcode.com/problems/minimum-moves-to-equal-array-elements," ""Math""",
805,Split Array With Same Average,Hard, https://leetcode.com/problems/split-array-with-same-average," ""Math","[' Dynamic Programming""']"
335,Self Crossing,Hard, https://leetcode.com/problems/self-crossing," ""Math","[' Geometry""']"
528,Random Pick with Weight,Medium, https://leetcode.com/problems/random-pick-with-weight," ""Math","[' Binary Search', ' Prefix Sum', ' Randomized""']"
509,Fibonacci Number,Easy, https://leetcode.com/problems/fibonacci-number," ""Math","[' Dynamic Programming', ' Recursion""']"
390,Elimination Game,Medium, https://leetcode.com/problems/elimination-game," ""Math""",
233,Number of Digit One,Hard, https://leetcode.com/problems/number-of-digit-one," ""Math","[' Recursion""']"
69,Sqrt(x),Easy, https://leetcode.com/problems/sqrtx," ""Math","[' Binary Search""']"
1104,Path In Zigzag Labelled Binary Tree,Medium, https://leetcode.com/problems/path-in-zigzag-labelled-binary-tree," ""Math","[' Tree', ' Binary Tree""']"
507,Perfect Number,Easy, https://leetcode.com/problems/perfect-number," ""Math""",
171,Excel Sheet Column Number,Easy, https://leetcode.com/problems/excel-sheet-column-number," ""Math","[' String""']"
60,Permutation Sequence,Hard, https://leetcode.com/problems/permutation-sequence," ""Math","[' Backtracking""']"
43,Multiply Strings,Medium, https://leetcode.com/problems/multiply-strings," ""Math","[' String', ' Simulation""']"
1304,Find N Unique Integers Sum up to Zero,Easy, https://leetcode.com/problems/find-n-unique-integers-sum-up-to-zero," ""Math""",
1344,Angle Between Hands of a Clock,Medium, https://leetcode.com/problems/angle-between-hands-of-a-clock," ""Math""",
365,Water and Jug Problem,Medium, https://leetcode.com/problems/water-and-jug-problem," ""Math","[' Depth-First Search', ' Breadth-First Search""']"
679,24 Game,Hard, https://leetcode.com/problems/24-game," ""Math","[' Backtracking""']"
231,Power of Two,Easy, https://leetcode.com/problems/power-of-two," ""Math","[' Bit Manipulation', ' Recursion""']"
319,Bulb Switcher,Medium, https://leetcode.com/problems/bulb-switcher," ""Math","[' Brainteaser""']"
779,K-th Symbol in Grammar,Medium, https://leetcode.com/problems/k-th-symbol-in-grammar," ""Math","[' Recursion""']"
670,Maximum Swap,Medium, https://leetcode.com/problems/maximum-swap," ""Math","[' Greedy""']"
367,Valid Perfect Square,Easy, https://leetcode.com/problems/valid-perfect-square," ""Math","[' Binary Search""']"
371,Sum of Two Integers,Medium, https://leetcode.com/problems/sum-of-two-integers," ""Math","[' Bit Manipulation""']"
172,Factorial Trailing Zeroes,Easy, https://leetcode.com/problems/factorial-trailing-zeroes," ""Math""",
762,Prime Number of Set Bits in Binary Representation,Easy, https://leetcode.com/problems/prime-number-of-set-bits-in-binary-representation," ""Math","[' Bit Manipulation""']"
