ID,Title,Difficulty,Leetcode Question Link,Tags,
176,Second Highest Salary,Easy, https://leetcode.com/problems/second-highest-salary," ""SQL""",
175,Combine Two Tables,Easy, https://leetcode.com/problems/combine-two-tables," ""SQL""",
178,Rank Scores,Medium, https://leetcode.com/problems/rank-scores," ""SQL""",
595,Big Countries,Easy, https://leetcode.com/problems/big-countries," ""SQL""",
177,Nth Highest Salary,Medium, https://leetcode.com/problems/nth-highest-salary," ""SQL""",
601,Human Traffic of Stadium,Hard, https://leetcode.com/problems/human-traffic-of-stadium," ""SQL""",
185,Department Top Three Salaries,Hard, https://leetcode.com/problems/department-top-three-salaries," ""SQL""",
197,Rising Temperature,Easy, https://leetcode.com/problems/rising-temperature," ""SQL""",
181,Employees Earning More Than Their Managers,Easy, https://leetcode.com/problems/employees-earning-more-than-their-managers," ""SQL""",
262,Trips and Users,Hard, https://leetcode.com/problems/trips-and-users," ""SQL""",
1084,Sales Analysis III,Easy, https://leetcode.com/problems/sales-analysis-iii," ""SQL""",
1083,Sales Analysis II,Easy, https://leetcode.com/problems/sales-analysis-ii," ""SQL""",
579,Find Cumulative Salary of an Employee,Hard, https://leetcode.com/problems/find-cumulative-salary-of-an-employee," ""SQL""",
183,Customers Who Never Order,Easy, https://leetcode.com/problems/customers-who-never-order," ""SQL""",
184,Department Highest Salary,Medium, https://leetcode.com/problems/department-highest-salary," ""SQL""",
570,Managers with at Least 5 Direct Reports,Medium, https://leetcode.com/problems/managers-with-at-least-5-direct-reports," ""SQL""",
584,Find Customer Referee,Easy, https://leetcode.com/problems/find-customer-referee," ""SQL""",
1270,All People Report to the Given Manager,Medium, https://leetcode.com/problems/all-people-report-to-the-given-manager," ""SQL""",
586,Customer Placing the Largest Number of Orders,Easy, https://leetcode.com/problems/customer-placing-the-largest-number-of-orders," ""SQL""",
180,Consecutive Numbers,Medium, https://leetcode.com/problems/consecutive-numbers," ""SQL""",
626,Exchange Seats,Medium, https://leetcode.com/problems/exchange-seats," ""SQL""",
1179,Reformat Department Table,Easy, https://leetcode.com/problems/reformat-department-table," ""SQL""",
618,Students Report By Geography,Hard, https://leetcode.com/problems/students-report-by-geography," ""SQL""",
1082,Sales Analysis I,Easy, https://leetcode.com/problems/sales-analysis-i," ""SQL""",
196,Delete Duplicate Emails,Easy, https://leetcode.com/problems/delete-duplicate-emails," ""SQL""",
1479,Sales by Day of the Week,Hard, https://leetcode.com/problems/sales-by-day-of-the-week," ""SQL""",
1068,Product Sales Analysis I,Easy, https://leetcode.com/problems/product-sales-analysis-i," ""SQL""",
