ID,Title,Difficulty,Leetcode Question Link,Tags,
950,Reveal Cards In Increasing Order,Medium,https://leetcode.com/problems/reveal-cards-in-increasing-order,"Array, Simulation",
1441,Build an Array With Stack Operations,Easy,https://leetcode.com/problems/build-an-array-with-stack-operations,"Array, Stack, Simulation",
1503,Last Moment Before All Ants Fall Out of a Plank,Medium,https://leetcode.com/problems/last-moment-before-all-ants-fall-out-of-a-plank,"Math, Simulation",
874,Walking Robot Simulation,Easy,https://leetcode.com/problems/walking-robot-simulation,"Array, Simulation",
1222,Queens That Can Attack the King,Medium,https://leetcode.com/problems/queens-that-can-attack-the-king,"Array, Matrix, Simulation",
1006,Clumsy Factorial,Medium,https://leetcode.com/problems/clumsy-factorial,"Math, Simulation",
1518,Water Bottles,Easy,https://leetcode.com/problems/water-bottles,"Greedy, Simulation",
495,Teemo Attacking,Medium,https://leetcode.com/problems/teemo-attacking,"Array, Simulation",
999,Available Captures for Rook,Easy,https://leetcode.com/problems/available-captures-for-rook,"Array, Simulation",
1389,Create Target Array in the Given Order,Easy,https://leetcode.com/problems/create-target-array-in-the-given-order,"Array, Simulation",
1204,Last Person to Fit in the Elevator,Medium,https://leetcode.com/problems/last-person-to-fit-in-the-elevator,Simulation,
