ID,Title,Difficulty,Leetcode Question Link,Tags,
274,H-Index,Medium, https://leetcode.com/problems/h-index," ""Sorting","[' Array""']"
527,Word Abbreviation,Hard,https://leetcode.com/problems/word-abbreviation,"String, Sorting, Greedy",
853,Car Fleet,Medium,https://leetcode.com/problems/car-fleet,"Sorting, Greedy",
630,Course Schedule III,Hard,https://leetcode.com/problems/course-schedule-iii,"Greedy, Sorting, Heap (Priority Queue)",
506,Relative Ranks,Easy,https://leetcode.com/problems/relative-ranks,"Array, Sorting",
522,Longest Uncommon Subsequence II,Medium,https://leetcode.com/problems/longest-uncommon-subsequence-ii,"String, Sorting",
954,Array of Doubled Pairs,Medium,https://leetcode.com/problems/array-of-doubled-pairs,"Array, Sorting",
1272,Remove Interval,Medium,https://leetcode.com/problems/remove-interval,"Array, Sorting",
1331,Rank Transform of an Array,Easy,https://leetcode.com/problems/rank-transform-of-an-array,"Array, Sorting",
1387,Sort Integers by The Power Value,Medium,https://leetcode.com/problems/sort-integers-by-the-power-value,"Dynamic Programming, Sorting",
1452,People Whose List of Favorite Companies Is Not a Subset of Another List,Medium,https://leetcode.com/problems/people-whose-list-of-favorite-companies-is-not-a-subset-of-another-list,"Hash Set, Sorting",
1471,The k Strongest Values in an Array,Medium,https://leetcode.com/problems/the-k-strongest-values-in-an-array,"Sorting, Two Pointers",
1508,Range Sum of Sorted Subarray Sums,Medium,https://leetcode.com/problems/range-sum-of-sorted-subarray-sums,"Array, Sorting, Binary Search",
1386,Cinema Seat Allocation,Medium,https://leetcode.com/problems/cinema-seat-allocation,"Greedy, Sorting",
571,Find Median Given Frequency of Numbers,Hard,https://leetcode.com/problems/find-median-given-frequency-of-numbers,"Sorting, Math",
1329,Sort the Matrix Diagonally,Medium,https://leetcode.com/problems/sort-the-matrix-diagonally,"Matrix, Sorting",
891,Sum of Subsequence Widths,Hard,https://leetcode.com/problems/sum-of-subsequence-widths,"Math, Sorting",
1353,Maximum Number of Events That Can Be Attended,Medium,https://leetcode.com/problems/maximum-number-of-events-that-can-be-attended,"Greedy, Sorting",
1030,Matrix Cells in Distance Order,Easy,https://leetcode.com/problems/matrix-cells-in-distance-order,"Breadth-First Search, Sorting",
1333,Filter Restaurants by Vegan-Friendly & Price and Distance,Medium,https://leetcode.com/problems/filter-restaurants-by-vegan-friendly-price-and-distance,"Sorting, Greedy",
