ID,Title,Difficulty,Leetcode Question Link,Tags,
1096,Brace Expansion II,Hard, https://leetcode.com/problems/brace-expansion-ii," ""String","[' Backtracking', ' Stack""']"
5,Longest Palindromic Substring,Medium, https://leetcode.com/problems/longest-palindromic-substring," ""String","[' Dynamic Programming""']"
420,Strong Password Checker,Hard, https://leetcode.com/problems/strong-password-checker," ""String","[' Greedy""']"
214,Shortest Palindrome,Hard, https://leetcode.com/problems/shortest-palindrome," ""String","[' KMP""']"
1108,Defanging an IP Address,Easy, https://leetcode.com/problems/defanging-an-ip-address," ""String""",
6,ZigZag Conversion,Medium, https://leetcode.com/problems/zigzag-conversion," ""String""",
20,Valid Parentheses,Easy, https://leetcode.com/problems/valid-parentheses," ""String","[' Stack""']"
8,String to Integer (atoi),Medium, https://leetcode.com/problems/string-to-integer-atoi," ""String""",
14,Longest Common Prefix,Easy, https://leetcode.com/problems/longest-common-prefix," ""String""",
929,Unique Email Addresses,Easy, https://leetcode.com/problems/unique-email-addresses," ""String""",
681,Next Closest Time,Medium, https://leetcode.com/problems/next-closest-time," ""String","[' Enumeration""']"
856,Score of Parentheses,Medium, https://leetcode.com/problems/score-of-parentheses," ""String","[' Stack""']"
686,Repeated String Match,Easy, https://leetcode.com/problems/repeated-string-match," ""String","[' Greedy""']"
709,To Lower Case,Easy, https://leetcode.com/problems/to-lower-case," ""String""",
65,Valid Number,Hard, https://leetcode.com/problems/valid-number," ""String""",
72,Edit Distance,Hard, https://leetcode.com/problems/edit-distance," ""String","[' Dynamic Programming""']"
647,Palindromic Substrings,Medium, https://leetcode.com/problems/palindromic-substrings," ""String","[' Dynamic Programming""']"
38,Count and Say,Easy, https://leetcode.com/problems/count-and-say," ""String""",
1190,Reverse Substrings Between Each Pair of Parentheses,Medium, https://leetcode.com/problems/reverse-substrings-between-each-pair-of-parentheses," ""String","[' Stack""']"
1106,Parsing A Boolean Expression,Hard, https://leetcode.com/problems/parsing-a-boolean-expression," ""String","[' Stack', ' Recursion""']"
1370,Increasing Decreasing String,Easy, https://leetcode.com/problems/increasing-decreasing-string," ""String","[' Sorting""']"
678,Valid Parenthesis String,Medium, https://leetcode.com/problems/valid-parenthesis-string," ""String","[' Dynamic Programming', ' Greedy""']"
555,Split Concatenated Strings,Medium, https://leetcode.com/problems/split-concatenated-strings," ""String""",
937,Reorder Data in Log Files,Easy, https://leetcode.com/problems/reorder-data-in-log-files," ""String","[' Sorting""']"
388,Longest Absolute File Path,Medium, https://leetcode.com/problems/longest-absolute-file-path," ""String","[' Stack""']"
556,Next Greater Element III,Medium, https://leetcode.com/problems/next-greater-element-iii," ""String","[' Greedy""']"
1100,Find K-Length Substrings With No Repeated Characters,Medium, https://leetcode.com/problems/find-k-length-substrings-with-no-repeated-characters," ""String","[' Sliding Window""']"
132,Palindrome Partitioning II,Hard, https://leetcode.com/problems/palindrome-partitioning-ii," ""String","[' Dynamic Programming""']"
161,One Edit Distance,Medium, https://leetcode.com/problems/one-edit-distance," ""String","[' Two Pointers""']"
468,Validate IP Address,Medium, https://leetcode.com/problems/validate-ip-address," ""String""",
727,Minimum Window Subsequence,Hard, https://leetcode.com/problems/minimum-window-subsequence," ""String","[' Dynamic Programming', ' Two Pointers""']"
796,Rotate String,Easy, https://leetcode.com/problems/rotate-string," ""String","[' String Matching""']"
158,Read N Characters Given Read4 II - Call multiple times,Hard, https://leetcode.com/problems/read-n-characters-given-read4-ii-call-multiple-times," ""String","[' Simulation', ' Interactive""']"
459,Repeated Substring Pattern,Easy, https://leetcode.com/problems/repeated-substring-pattern," ""String","[' String Matching""']"
657,Robot Return to Origin,Easy, https://leetcode.com/problems/robot-return-to-origin," ""String","[' Simulation""']"
1456,Maximum Number of Vowels in a Substring of Given Length,Medium, https://leetcode.com/problems/maximum-number-of-vowels-in-a-substring-of-given-length," ""String","[' Sliding Window""']"
1065,Index Pairs of a String,Easy, https://leetcode.com/problems/index-pairs-of-a-string," ""String","[' Trie""']"
1119,Remove Vowels from a String,Easy, https://leetcode.com/problems/remove-vowels-from-a-string," ""String""",
1408,String Matching in an Array,Easy, https://leetcode.com/problems/string-matching-in-an-array," ""String""",
87,Scramble String,Hard, https://leetcode.com/problems/scramble-string," ""String","[' Dynamic Programming', ' Recursion""']"
1021,Remove Outermost Parentheses,Easy, https://leetcode.com/problems/remove-outermost-parentheses," ""String","[' Stack""']"
1209,Remove All Adjacent Duplicates in String II,Medium, https://leetcode.com/problems/remove-all-adjacent-duplicates-in-string-ii," ""String","[' Stack""']"
1312,Minimum Insertion Steps to Make a String Palindrome,Hard, https://leetcode.com/problems/minimum-insertion-steps-to-make-a-string-palindrome," ""String","[' Dynamic Programming""']"
320,Generalized Abbreviation,Medium, https://leetcode.com/problems/generalized-abbreviation," ""String","[' Backtracking', ' Bit Manipulation""']"
440,K-th Smallest in Lexicographical Order,Hard, https://leetcode.com/problems/k-th-smallest-in-lexicographical-order," ""String","[' Binary Search""']"
1419,Minimum Number of Frogs Croaking,Medium, https://leetcode.com/problems/minimum-number-of-frogs-croaking," ""String","[' Greedy', ' Counting""']"
1374,Generate a String With Characters That Have Odd Counts,Easy, https://leetcode.com/problems/generate-a-string-with-characters-that-have-odd-counts," ""String""",
306,Additive Number,Medium, https://leetcode.com/problems/additive-number," ""String","[' Backtracking""']"
1451,Rearrange Words in a Sentence,Medium, https://leetcode.com/problems/rearrange-words-in-a-sentence," ""String","[' Sorting""']"
824,Goat Latin,Easy, https://leetcode.com/problems/goat-latin," ""String""",
616,Add Bold Tag in String,Medium, https://leetcode.com/problems/add-bold-tag-in-string," ""String","[' Greedy', ' Trie""']"
1216,Valid Palindrome III,Hard, https://leetcode.com/problems/valid-palindrome-iii," ""String","[' Dynamic Programming""']"
157,Read N Characters Given Read4,Easy, https://leetcode.com/problems/read-n-characters-given-read4," ""String","[' Simulation""']"
936,Stamping The Sequence,Hard, https://leetcode.com/problems/stamping-the-sequence," ""String","[' Greedy""']"
1055,Shortest Way to Form String,Medium, https://leetcode.com/problems/shortest-way-to-form-string," ""String","[' Greedy', ' Two Pointers""']"
848,Shifting Letters,Medium, https://leetcode.com/problems/shifting-letters," ""String""",
1003,Check If Word Is Valid After Substitutions,Medium, https://leetcode.com/problems/check-if-word-is-valid-after-substitutions," ""String","[' Stack""']"
639,Decode Ways II,Hard, https://leetcode.com/problems/decode-ways-ii," ""String","[' Dynamic Programming""']"
1163,Last Substring in Lexicographical Order,Hard, https://leetcode.com/problems/last-substring-in-lexicographical-order," ""String","[' Two Pointers""']"
1427,Perform String Shifts,Easy, https://leetcode.com/problems/perform-string-shifts," ""String""",
1320,Minimum Distance to Type a Word Using Two Fingers,Hard, https://leetcode.com/problems/minimum-distance-to-type-a-word-using-two-fingers," ""String","[' Dynamic Programming""']"
482,License Key Formatting,Easy, https://leetcode.com/problems/license-key-formatting," ""String""",
471,Encode String with Shortest Length,Hard, https://leetcode.com/problems/encode-string-with-shortest-length," ""String","[' Dynamic Programming""']"
1087,Brace Expansion,Medium, https://leetcode.com/problems/brace-expansion," ""String","[' Backtracking""']"
