ID,Title,Difficulty,Leetcode Question Link,Tags,
617,Merge Two Binary Trees,Easy, https://leetcode.com/problems/merge-two-binary-trees," ""Tree","[' Depth-First Search', ' Breadth-First Search""']"
993,Cousins in Binary Tree,Easy, https://leetcode.com/problems/cousins-in-binary-tree," ""Tree","[' Breadth-First Search', ' Depth-First Search""']"
543,Diameter of Binary Tree,Easy, https://leetcode.com/problems/diameter-of-binary-tree," ""Tree","[' Depth-First Search""']"
987,Vertical Order Traversal of a Binary Tree,Medium, https://leetcode.com/problems/vertical-order-traversal-of-a-binary-tree," ""Tree","[' Depth-First Search', ' Breadth-First Search""']"
236,Lowest Common Ancestor of a Binary Tree,Medium, https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree," ""Tree""",
113,Path Sum II,Medium, https://leetcode.com/problems/path-sum-ii," ""Tree","[' Backtracking""']"
110,Balanced Binary Tree,Easy, https://leetcode.com/problems/balanced-binary-tree," ""Tree","[' Depth-First Search""']"
114,Flatten Binary Tree to Linked List,Medium, https://leetcode.com/problems/flatten-binary-tree-to-linked-list," ""Tree","[' Depth-First Search', ' Stack""']"
112,Path Sum,Easy, https://leetcode.com/problems/path-sum," ""Tree","[' Depth-First Search""']"
101,Symmetric Tree,Easy, https://leetcode.com/problems/symmetric-tree," ""Tree","[' Depth-First Search', ' Breadth-First Search""']"
98,Validate Binary Search Tree,Medium, https://leetcode.com/problems/validate-binary-search-tree," ""Tree","[' Depth-First Search', ' Binary Search Tree""']"
104,Maximum Depth of Binary Tree,Easy, https://leetcode.com/problems/maximum-depth-of-binary-tree," ""Tree","[' Depth-First Search""']"
669,Trim a Binary Search Tree,Easy, https://leetcode.com/problems/trim-a-binary-search-tree," ""Tree","[' Depth-First Search', ' Binary Search Tree""']"
545,Boundary of Binary Tree,Medium, https://leetcode.com/problems/boundary-of-binary-tree," ""Tree","[' Depth-First Search""']"
107,Binary Tree Level Order Traversal II,Easy, https://leetcode.com/problems/binary-tree-level-order-traversal-ii," ""Tree","[' Breadth-First Search""']"
199,Binary Tree Right Side View,Medium, https://leetcode.com/problems/binary-tree-right-side-view," ""Tree","[' Depth-First Search', ' Breadth-First Search""']"
235,Lowest Common Ancestor of a Binary Search Tree,Easy, https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-search-tree," ""Tree","[' Depth-First Search', ' Binary Search Tree""']"
404,Sum of Left Leaves,Easy, https://leetcode.com/problems/sum-of-left-leaves," ""Tree","[' Depth-First Search""']"
257,Binary Tree Paths,Easy, https://leetcode.com/problems/binary-tree-paths," ""Tree","[' Depth-First Search""']"
700,Search in a Binary Search Tree,Easy, https://leetcode.com/problems/search-in-a-binary-search-tree," ""Tree","[' Binary Search Tree""']"
102,Binary Tree Level Order Traversal,Medium, https://leetcode.com/problems/binary-tree-level-order-traversal," ""Tree","[' Breadth-First Search""']"
145,Binary Tree Postorder Traversal,Hard, https://leetcode.com/problems/binary-tree-postorder-traversal," ""Tree","[' Stack""']"
124,Binary Tree Maximum Path Sum,Hard, https://leetcode.com/problems/binary-tree-maximum-path-sum," ""Tree","[' Depth-First Search""']"
230,Kth Smallest Element in a BST,Medium, https://leetcode.com/problems/kth-smallest-element-in-a-bst," ""Tree","[' Depth-First Search', ' Binary Search Tree""']"
1257,Smallest Common Region,Medium, https://leetcode.com/problems/smallest-common-region," ""Tree","[' Depth-First Search""']"
173,Binary Search Tree Iterator,Medium, https://leetcode.com/problems/binary-search-tree-iterator," ""Tree","[' Stack', ' Design', ' Binary Search Tree""']"
