ID,Title,Difficulty,Leetcode Question Link,Tags,
1319,Number of Operations to Make Network Connected,Medium, https://leetcode.com/problems/number-of-operations-to-make-network-connected," ""Union Find","[' Graph""']"
1202,Smallest String With Swaps,Medium, https://leetcode.com/problems/smallest-string-with-swaps," ""Union Find","[' Array""']"
1489,Find Critical and Pseudo-Critical Edges in Minimum Spanning Tree,Hard, https://leetcode.com/problems/find-critical-and-pseudo-critical-edges-in-minimum-spanning-tree," ""Union Find","[' Graph""']"
803,Bricks Falling When Hit,Hard, https://leetcode.com/problems/bricks-falling-when-hit," ""Union Find","[' Graph""']"
947,Most Stones Removed with Same Row or Column,Medium,https://leetcode.com/problems/most-stones-removed-with-same-row-or-column,"Union Find, Graph, Depth-First Search",
685,Redundant Connection II,Hard,https://leetcode.com/problems/redundant-connection-ii,"Union Find, Graph",
952,Largest Component Size by Common Factor,Hard,https://leetcode.com/problems/largest-component-size-by-common-factor,"Union Find, Graph",
1391,Check if There is a Valid Path in a Grid,Medium,https://leetcode.com/problems/check-if-there-is-a-valid-path-in-a-grid,"Graph, Union Find",
990,Satisfiability of Equality Equations,Medium,https://leetcode.com/problems/satisfiability-of-equality-equations,"Graph, Union Find",
959,Regions Cut By Slashes,Medium,https://leetcode.com/problems/regions-cut-by-slashes,"Union Find, Graph",
