ID,Title,Difficulty,Leetcode Question Link,Tags
1234,Replace the Substring for Balanced String,Medium, https://leetcode.com/problems/replace-the-substring-for-balanced-string, "Sliding Window, Two Pointers, String, Hash Table"
1,Two Sum,Easy, https://leetcode.com/problems/two-sum, "Array, Hash Table"
2,Add Two Numbers,Medium, https://leetcode.com/problems/add-two-numbers, "Linked List, Math"
21,Merge Two Sorted Lists,Easy, https://leetcode.com/problems/merge-two-sorted-lists, "Linked List, Recursion"
1096,Brace Expansion II,Hard, https://leetcode.com/problems/brace-expansion-ii, "String, Backtracking, Stack"
741,Cherry Pickup,Hard, https://leetcode.com/problems/cherry-pickup, "Dynamic Programming, Matrix"
5,Longest Palindromic Substring,Medium, https://leetcode.com/problems/longest-palindromic-substring, "String, Dynamic Programming"
3,Longest Substring Without Repeating Characters,Medium, https://leetcode.com/problems/longest-substring-without-repeating-characters, "Hash Table, String, Sliding Window"
82,Remove Duplicates from Sorted List II,Medium, https://leetcode.com/problems/remove-duplicates-from-sorted-list-ii, "Linked List, Two Pointers"
274,H-Index,Medium, https://leetcode.com/problems/h-index, "Sorting, Array"
706,Design HashMap,Easy, https://leetcode.com/problems/design-hashmap, "Hash Table, Design"
22,Generate Parentheses,Medium, https://leetcode.com/problems/generate-parentheses, "Backtracking, String"
115,Distinct Subsequences,Hard, https://leetcode.com/problems/distinct-subsequences, "Dynamic Programming, String"
739,Daily Temperatures,Medium, https://leetcode.com/problems/daily-temperatures, "Stack, Array, Monotonic Stack"
420,Strong Password Checker,Hard, https://leetcode.com/problems/strong-password-checker, "String, Greedy"
218,The Skyline Problem,Hard, https://leetcode.com/problems/the-skyline-problem, "Divide and Conquer, Heap (Priority Queue), Segment Tree"
76,Minimum Window Substring,Hard, https://leetcode.com/problems/minimum-window-substring, "Hash Table, String, Sliding Window"
728,Self Dividing Numbers,Easy, https://leetcode.com/problems/self-dividing-numbers, "Math"
15,3Sum,Medium, https://leetcode.com/problems/3sum, "Two Pointers, Sorting, Array"
206,Reverse Linked List,Easy, https://leetcode.com/problems/reverse-linked-list, "Linked List, Recursion"
725,Split Linked List in Parts,Medium, https://leetcode.com/problems/split-linked-list-in-parts, "Linked List"
53,Maximum Subarray,Easy, https://leetcode.com/problems/maximum-subarray, "Array, Divide and Conquer, Dynamic Programming"
37,Sudoku Solver,Hard, https://leetcode.com/problems/sudoku-solver, "Backtracking"
25,Reverse Nodes in k-Group,Hard, https://leetcode.com/problems/reverse-nodes-in-k-group, "Linked List, Recursion"
202,Happy Number,Easy, https://leetcode.com/problems/happy-number, "Math, Hash Table"
42,Trapping Rain Water,Hard, https://leetcode.com/problems/trapping-rain-water, "Array, Two Pointers, Dynamic Programming"
560,Subarray Sum Equals K,Medium, https://leetcode.com/problems/subarray-sum-equals-k, "Array, Hash Table, Prefix Sum"
7,Reverse Integer,Easy, https://leetcode.com/problems/reverse-integer, "Math"
31,Next Permutation,Medium, https://leetcode.com/problems/next-permutation, "Array, Two Pointers"
74,Search a 2D Matrix,Medium, https://leetcode.com/problems/search-a-2d-matrix, "Binary Search, Matrix"
4,Median of Two Sorted Arrays,Hard, https://leetcode.com/problems/median-of-two-sorted-arrays, "Array, Binary Search, Divide and Conquer"
214,Shortest Palindrome,Hard, https://leetcode.com/problems/shortest-palindrome, "String, KMP"
12,Integer to Roman,Medium, https://leetcode.com/problems/integer-to-roman, "Math, String"
617,Merge Two Binary Trees,Easy, https://leetcode.com/problems/merge-two-binary-trees, "Tree, Depth-First Search, Breadth-First Search"
1114,Print in Order,Easy, https://leetcode.com/problems/print-in-order, "Concurrency"
55,Jump Game,Medium, https://leetcode.com/problems/jump-game, "Array, Greedy, Dynamic Programming"
368,Largest Divisible Subset,Medium, https://leetcode.com/problems/largest-divisible-subset, "Dynamic Programming, Math"
176,Second Highest Salary,Easy, https://leetcode.com/problems/second-highest-salary, "SQL"
1108,Defanging an IP Address,Easy, https://leetcode.com/problems/defanging-an-ip-address, "String"
219,Contains Duplicate II,Easy, https://leetcode.com/problems/contains-duplicate-ii, "Array, Hash Table, Sliding Window"
11,Container With Most Water,Medium, https://leetcode.com/problems/container-with-most-water, "Array, Two Pointers"
343,Integer Break,Medium, https://leetcode.com/problems/integer-break, "Math, Dynamic Programming"
312,Burst Balloons,Hard, https://leetcode.com/problems/burst-balloons, "Dynamic Programming, Divide and Conquer"
220,Contains Duplicate III,Medium, https://leetcode.com/problems/contains-duplicate-iii, "Array, Bucket Sort, Sliding Window"
395,Longest Substring with At Least K Repeating Characters,Medium, https://leetcode.com/problems/longest-substring-with-at-least-k-repeating-characters, "Divide and Conquer, Sliding Window"
836,Rectangle Overlap,Easy, https://leetcode.com/problems/rectangle-overlap, "Geometry"
221,Maximal Square,Medium, https://leetcode.com/problems/maximal-square, "Dynamic Programming"
18,4Sum,Medium, https://leetcode.com/problems/4sum, "Array, Two Pointers, Sorting"
45,Jump Game II,Hard, https://leetcode.com/problems/jump-game-ii, "Array, Greedy"
300,Longest Increasing Subsequence,Medium, https://leetcode.com/problems/longest-increasing-subsequence, "Binary Search, Dynamic Programming"
525,Contiguous Array,Medium, https://leetcode.com/problems/contiguous-array, "Array, Hash Table"
229,Majority Element II,Medium, https://leetcode.com/problems/majority-element-ii, "Array, Hash Table, Sorting"
146,LRU Cache,Medium, https://leetcode.com/problems/lru-cache, "Hash Table, Linked List, Design"
200,Number of Islands,Medium, https://leetcode.com/problems/number-of-islands, "Depth-First Search, Breadth-First Search, Union Find"
993,Cousins in Binary Tree,Easy, https://leetcode.com/problems/cousins-in-binary-tree, "Tree, Breadth-First Search, Depth-First Search"
6,ZigZag Conversion,Medium, https://leetcode.com/problems/zigzag-conversion, "String"
175,Combine Two Tables,Easy, https://leetcode.com/problems/combine-two-tables, "SQL"
994,Rotting Oranges,Medium, https://leetcode.com/problems/rotting-oranges, "Breadth-First Search"
